P0001,PANETONCITO X 12,1,17,10,24-11-2019 21:22:36
P0002,MINI GN  X 40 SURTIDO,2,33,11,24-11-2019 21:22:37
P0003,MINI GELATINA CJ X 410 UND,3,22,12,24-11-2019 21:22:38
P0004,M Y M MINIS X 12KL,2,31,13,24-11-2019 21:22:39
P0005,MOROCHA STIK 14 X 6,2,28,14,24-11-2019 21:22:40
P0006,soda 34 x 10,2,34,2.5,24-11-2019 21:22:41
P0007,SNICKERS  X 48 UN X 52.7 GR,2,31,2.5,24-11-2019 21:22:42
P0008,M Y M X 48,2,31,8,24-11-2019 21:22:43
P0009,WOZO  GALACTIC X 24 UND,2,39,9,24-11-2019 21:22:44
P0010,HUEVITO MINI WOZO  CJ X 48 UND.,2,39,10,24-11-2019 21:22:45
P0011,MOROCHA WAFER 27X 6,2,28,11,24-11-2019 21:22:46
P0012,PRINCESA BARRA 28 X 20 X 30GR,2,28,12,24-11-2019 21:22:47
P0013,YO YO,2,21,13,24-11-2019 21:22:48
P0014,SORRENTO 30X20X32 GR,2,28,14,24-11-2019 21:22:49
P0015,PANETON DONOFRIO BL. 6 X 900GR,1,28,15,24-11-2019 21:22:50
P0016,PANETON BUON NATALE BOLSA 6 X 800GR,1,28,16,24-11-2019 21:22:51
P0017,TRIANGULO BARRA 22X200GR,2,28,17,24-11-2019 21:22:52
P0018,PANETON CHOCOTON CJ 6X500gr,1,28,18,24-11-2019 21:22:53
P0019,SUBLIME CLASICO 27 X 24,2,28,19,24-11-2019 21:22:54
P0020,TRIANGULO CLAS. 24 X 22 X 30gr,2,28,20,24-11-2019 21:22:55
P0021,PANETON DONOFRIO CJA 6X900GRMS,1,28,21,24-11-2019 21:22:56
P0022,SUBLIME SONRISA BLANCO 21 X 12 X 40GR,2,28,22,24-11-2019 21:22:57
P0023,TRIANGULO MARMOLEADO 24 X 22 X 33GR,2,28,23,24-11-2019 21:22:58
P0024,MINI MANI 28 X 12,2,28,24,24-11-2019 21:22:59
P0025,MORCHA TACO X 56,2,28,25,24-11-2019 21:22:36
P0026,Princesa blanco bl. 18 X 18 x 8gr,2,28,26,24-11-2019 21:22:37
P0027,PRINCESA CORAZON X 144GR,2,28,27,24-11-2019 21:22:38
P0028,SUBLIME BOLSA 15X18X8GR,2,28,28,24-11-2019 21:22:39
P0029,TRIANGULO DOY 6 12 X 18 X 8 GR,2,28,29,24-11-2019 21:22:40
P0030,PANETON CHOCOTON MANJAR6X500gr,1,28,30,24-11-2019 21:22:41
P0031,PANETON CHOCOTON VAINILLA6X500gr,1,28,31,24-11-2019 21:22:42
P0032,PANETON CHOCOTON BL 6X500gr,1,28,32,24-11-2019 21:22:43
P0033,PRINCESA LATA 15X18X8GR,2,28,33,24-11-2019 21:22:44
P0034,KIT KAT PAPA NOEL  9X6X29GR,2,28,2,24-11-2019 21:22:45
P0035,MOROCHAS 18X8X30GR,2,28,0,24-11-2019 21:22:46
P0036,SODA PLAIN X 4 PK X 6,2,4,2,24-11-2019 21:22:47
P0037,PRINGLES 12X37GR,2,31,0,24-11-2019 21:22:48
P0038,SODA PLAIN X 20 UN X 100 GR.,2,4,1,24-11-2019 21:22:49
P0039,AMBROSIA X 36 BL X 240 GR.,2,5,0,24-11-2019 21:22:50
P0040,MIX SODA X 35 BL X 60,2,5,3,24-11-2019 21:22:51
P0041,TURRUNAZO X 20 BL X 100,2,5,5,24-11-2019 21:22:52
P0042,CHICLE ANGRY BIRDS X 12 DP X 100,2,7,0,24-11-2019 21:22:53
P0043,PRIVILEGIO 10 BL X 42,2,7,0,24-11-2019 21:22:54
P0045,FRUTICA LOVE X 16 BL X 100,4,11,0,24-11-2019 21:22:55
P0046,GLOBO POP LED PRINT X 12 DP X 20,2,12,0,24-11-2019 21:22:56
P0047,GALLETA LATA X 18,2,15,0,24-11-2019 21:22:57
P0048,GALLETA SURT. AZUL X 6,2,15,13,24-11-2019 21:22:58
P0049,VIZZIO ESTUCHE X 15 UN X 89 GR.,2,15,0,24-11-2019 21:22:59
P0050,BURBUJITAS X 60 TR X 8,2,1,0,24-11-2019 21:22:36
P0051,SUBLIME GALLETA X 12 DP X 24,2,28,0,24-11-2019 21:22:37
